date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,month
2022-09-19,11.7,8.3,15.4,0.0,0,316.0,6.5,25.9,1020.9,,09-Sep
2022-09-20,10.6,6.1,15.1,0.0,0,37.0,5.1,16.7,1023.0,,09-Sep
2022-09-21,10.8,5.4,16.6,0.0,0,49.0,10.1,37.0,1023.7,,09-Sep
2022-09-22,10.6,4.4,17.0,0.0,0,47.0,6.5,27.8,1022.0,,09-Sep
2022-09-23,13.4,6.8,19.9,2.4,0,191.0,5.0,27.8,1018.2,,09-Sep
2022-09-24,12.7,10.3,14.8,4.7,0,191.0,4.4,14.8,1014.0,,09-Sep
2022-09-25,10.9,9.6,12.7,6.3,0,231.0,4.7,18.5,1013.3,,09-Sep
2022-09-26,11.4,9.6,14.9,6.0,0,238.0,8.6,33.3,1010.0,,09-Sep
2022-09-27,9.2,7.1,11.3,16.9,0,239.0,21.3,55.5,1004.9,,09-Sep
2022-09-28,8.6,6.7,10.4,28.3,0,233.0,11.0,48.2,1001.9,,09-Sep
2022-09-29,8.3,6.7,10.6,2.5,0,108.0,4.5,14.8,1003.5,,09-Sep
2022-09-30,9.7,7.7,12.2,0.0,0,34.0,4.4,14.8,1011.0,,09-Sep
2022-10-01,10.1,7.6,12.9,7.1,0,230.0,13.4,46.3,1016.8,,10-Oct
2022-10-02,15.3,12.3,19.3,19.3,0,240.0,17.2,51.8,1021.9,,10-Oct
2022-10-03,12.2,8.6,15.6,0.0,0,28.0,6.8,25.9,1025.7,,10-Oct
2022-10-04,10.7,6.7,16.7,0.0,0,93.0,4.5,14.8,1024.0,,10-Oct
2022-10-05,14.3,8.9,21.5,0.0,0,200.0,4.1,18.5,1023.7,,10-Oct
2022-10-06,15.0,11.4,19.6,0.0,0,242.0,4.2,14.8,1029.2,,10-Oct
2022-10-07,14.3,11.3,18.7,0.0,0,153.0,4.2,14.8,1025.1,,10-Oct
2022-10-08,13.3,11.0,15.7,0.4,0,235.0,3.6,14.8,1021.9,,10-Oct
